"QID","eidrparty"
"Q110899491","10.5237/E859-FA33"
"Q112232667","10.5237/B4CA-8435"
"Q112745642","10.5237/D204-C42D"
"Q112750210","10.5237/E87F-CE4D"
"Q113843887","10.5237/9C81-F0F6"
"Q119812136","10.5237/F40C-78C2"
"Q121144120","10.5237/6C80-A422"
"Q121299140","10.5237/87D3-24C8"
"Q122998871","10.5237/C0A5-D978"
"Q72081","10.5237/E900-9531"
"Q200976","10.5237/E41A-3DB1"
"Q219135","10.5237/FA69-C063"
"Q457893","10.5237/A3EC-0232"
"Q465224","10.5237/3EB0-832B"
"Q467348","10.5237/E7C5-F689"
"Q541667","10.5237/D876-3372"
"Q567633","10.5237/2812-8954"
"Q678058","10.5237/244C-70B8"
"Q1136277","10.5237/9A1B-ACDD"
"Q2060840","10.5237/8D17-C91C"
"Q2138792","10.5237/8A63-C534"
"Q2245650","10.5237/EE82-16C7"
"Q2371191","10.5237/41A6-20E4"
"Q2415769","10.5237/1423-44B7"
"Q2420344","10.5237/AF0E-9FCC"
"Q2717612","10.5237/9185-3E75"
"Q2818996","10.5237/D28A-1C5F"
"Q2939795","10.5237/9ABE-1C2F"
"Q3700480","10.5237/53F7-9F7A"
"Q3991282","10.5237/2C5B-ACFC"
"Q4010298","10.5237/119A-5E98"
"Q4035093","10.5237/B3A9-329F"
"Q4631061","10.5237/BAE8-602E"
"Q4683944","10.5237/273D-8E5A"
"Q4707117","10.5237/DFF0-09C3"
"Q4752661","10.5237/3FE2-E1F5"
"Q4970126","10.5237/C002-20E8"
"Q5131896","10.5237/6D2A-E2CB"
"Q5189359","10.5237/5E16-34A2"
"Q5414361","10.5237/8E3A-3F4A"
"Q5448989","10.5237/3BD6-26B3"
"Q5583638","10.5237/628B-2BD0"
"Q5680824","10.5237/270D-077B"
"Q5903471","10.5237/11AB-C5EB"
"Q6516806","10.5237/FBCC-5A67"
"Q6745872","10.5237/3A1E-38E9"
"Q7196772","10.5237/A9A3-4374"
"Q7263919","10.5237/8E4D-E670"
"Q7273145","10.5237/8CA0-651F"
"Q7421058","10.5237/F9EE-FD6F"
"Q7452222","10.5237/AFD4-65ED"
"Q7512312","10.5237/1F35-1642"
"Q7698270","10.5237/6DCE-3E50"
"Q7801550","10.5237/39D0-7364"
"Q7962257","10.5237/380D-6FFC"
"Q7969872","10.5237/D57F-89FC"
"Q7969876","10.5237/D41D-8CD9"
"Q8036489","10.5237/0904-212B"
"Q8069122","10.5237/E525-4240"
"Q8069350","10.5237/23B7-7D7F"
"Q16242963","10.5237/5569-C99A"
"Q16632366","10.5237/244C-33CC"
"Q16839205","10.5237/02A0-3B06"
"Q16955312","10.5237/409C-BFBA"
"Q17037404","10.5237/8B8A-45AB"
"Q18207711","10.5237/84B7-5C24"
"Q18219579","10.5237/CB29-E60F"
"Q18219588","10.5237/1AB8-115E"
"Q21036756","10.5237/2475-FCBA"
"Q21810681","10.5237/020D-A55B"
"Q22021534","10.5237/8380-7746"
"Q22085360","10.5237/D32D-1962"
"Q28024354","10.5237/D790-F556"
"Q30255906","10.5237/305C-BD5E"
"Q30291863","10.5237/20DD-FA0A"
"Q31180999","10.5237/B0A3-8029"
"Q41511576","10.5237/104C-D4E6"
"Q54805286","10.5237/B040-787E"
"Q63537654","10.5237/288B-9CFA"
"Q48340","10.5237/20AE-227F"
"Q86750090","10.5237/F786-9ECE"
"Q91336376","10.5237/BD88-5270"
"Q92999549","10.5237/2A49-D25C"
"Q96376054","10.5237/7130-A3DA"
"Q106027564","10.5237/D40A-EA51"
"Q107027345","10.5237/C053-2320"
"Q108560833","10.5237/88DA-3A2A"
"Q113071294","10.5237/E276-7F9C"
"Q116188737","10.5237/A520-85FA"
"Q118849627","10.5237/CC97-EC38"
"Q119941307","10.5237/A63A-0B08"
"Q122955535","10.5237/3754-81F5"
"Q123137578","10.5237/5450-1085"
"Q166419","10.5237/6BC9-C7E5"
"Q369786","10.5237/B3FC-39C7"
"Q465832","10.5237/C1E1-C447"
"Q477943","10.5237/8914-D7DE"
"Q500088","10.5237/2BB8-DD6A"
"Q618091","10.5237/8F01-81B7"
"Q622848","10.5237/FBF8-C3CD"
"Q624886","10.5237/671D-4889"
"Q649649","10.5237/6769-FC86"
"Q651228","10.5237/31D9-85ED"
"Q798768","10.5237/22B6-B92B"
"Q812893","10.5237/F121-EB08"
"Q844652","10.5237/16A3-C04D"
"Q885885","10.5237/9107-73A8"
"Q908662","10.5237/C9C1-CFB3"
"Q917869","10.5237/0612-9889"
"Q1128577","10.5237/B5C6-3538"
"Q1136177","10.5237/3ECA-0BDD"
"Q1166160","10.5237/0051-DBC8"
"Q1348264","10.5237/1527-F1EE"
"Q1475707","10.5237/9D02-8C07"
"Q1584317","10.5237/C0E0-A2F9"
"Q1706678","10.5237/6466-304E"
"Q2579492","10.5237/167B-F4A2"
"Q2861046","10.5237/2EAF-75DC"
"Q2865801","10.5237/2F80-8338"
"Q2902139","10.5237/5519-7D38"
"Q2906631","10.5237/5B10-7AD3"
"Q2927617","10.5237/C474-E012"
"Q2931045","10.5237/E35F-1AC6"
"Q3005562","10.5237/03F4-F3C8"
"Q3046330","10.5237/D1CC-E082"
"Q3098606","10.5237/91F2-0A79"
"Q3109988","10.5237/DE46-E074"
"Q3620821","10.5237/C700-85E7"
"Q3704004","10.5237/AEF0-DBB8"
"Q3712525","10.5237/751F-FF05"
"Q3772936","10.5237/18CF-CB10"
"Q4306553","10.5237/95F1-867E"
"Q4411312","10.5237/A4AC-668E"
"Q4411312","10.5237/F987-72ED"
"Q4780593","10.5237/3F34-E36F"
"Q4816418","10.5237/8C35-0091"
"Q4822585","10.5237/84D2-28BE"
"Q4826385","10.5237/3309-BB50"
"Q4856237","10.5237/85A6-0E8C"
"Q4879144","10.5237/5BEB-CF27"
"Q4928562","10.5237/1625-C97E"
"Q4958364","10.5237/6630-4533"
